SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-JAN-2018,1,25593,24874,26501,25732,21505,2311,5754,0,12916,0,308,305,1415,715,205,432,1386,709,206,427
01-JAN-2018,2,26349,25630,27207,26499,22206,2270,5754,0,12916,0,258,266,1404,709,201,432,1386,710,199,427
01-JAN-2018,3,26240,25501,27480,26791,22024,2237,5754,0,12916,0,640,666,1405,720,211,432,1386,722,211,427
01-JAN-2018,4,25292,24544,26760,26016,21142,2204,5754,0,12916,0,868,996,1405,727,211,432,1386,724,212,427
01-JAN-2018,5,24416,23664,26162,25452,20347,2197,5754,0,12916,0,1146,1280,1308,678,211,432,1288,676,211,427
01-JAN-2018,6,23805,23063,25746,25198,19773,2190,5754,0,12916,0,1341,1485,1305,676,211,432,1288,674,212,427
01-JAN-2018,7,22992,22244,25482,24870,18983,2153,5754,0,12916,0,1890,2026,1305,679,212,432,1288,681,211,427
01-JAN-2018,8,22062,21325,24558,23948,18059,2115,5754,0,12916,0,1896,2023,1305,673,213,432,1288,670,212,427
01-JAN-2018,9,21533,20806,24015,23415,17606,2059,5754,0,12916,0,1882,2009,1305,466,213,432,1288,459,211,427
01-JAN-2018,10,21246,20539,23720,23207,17377,2002,5754,0,12916,0,1874,2068,1305,458,213,432,1288,454,212,427
01-JAN-2018,11,21288,20601,23689,23332,17419,1960,5754,0,12916,0,1801,2076,1305,232,213,432,1288,222,211,427
01-JAN-2018,12,21549,20900,23788,23508,17625,1917,5754,0,12916,0,1639,1787,1305,219,213,432,1288,218,211,427
01-JAN-2018,13,22409,21734,24629,24334,18420,1845,5754,0,12916,0,1620,1788,1304,361,207,432,1288,367,206,427
01-JAN-2018,14,22891,22222,25143,24743,18868,1772,5754,0,12916,0,1652,1756,1315,372,207,432,1287,356,206,427
01-JAN-2018,15,23507,22821,24996,24555,19432,1704,5754,0,12916,0,755,717,822,-134,207,432,802,-148,206,427
01-JAN-2018,16,23692,23055,24679,24083,19685,1636,5754,0,12916,0,223,216,813,-164,207,432,802,-164,206,427
01-JAN-2018,17,24376,23751,25114,24537,20335,1585,5754,4,12916,0,13,12,721,-125,207,432,704,-123,206,427
01-JAN-2018,18,25542,24908,26276,25693,21460,1534,5754,62,12916,0,9,10,691,-125,207,432,705,-120,206,427
01-JAN-2018,19,26949,26300,27556,26918,22783,1514,5754,230,12916,0,7,9,1309,233,207,432,1291,244,206,427
01-JAN-2018,20,28086,27482,28694,28091,23815,1493,5754,640,12916,0,8,9,1290,243,207,432,1292,246,206,427
01-JAN-2018,21,29299,28746,29907,29355,24865,1515,5754,891,12916,0,8,7,1799,619,205,432,1778,634,203,427
01-JAN-2018,22,30227,29790,30830,30393,25594,1536,5754,1020,12916,0,3,3,1800,632,175,432,1777,633,173,427
01-JAN-2018,23,31267,30843,31875,31453,26413,1535,5754,1100,12916,0,8,7,1800,903,141,432,1777,918,139,427
01-JAN-2018,24,31922,31425,32529,32037,26882,1534,5754,1510,12916,0,7,7,1801,883,102,405,1777,881,101,398
01-JAN-2018,25,32432,31943,33041,32555,27260,1531,5754,1840,12916,0,9,12,1800,877,93,310,1777,881,91,303
01-JAN-2018,26,32624,32125,33232,32735,27369,1527,5754,1990,12916,0,8,6,1800,923,84,243,1777,928,84,238
01-JAN-2018,27,32980,32454,33582,33058,27714,1546,5754,2260,12916,0,2,3,1800,928,84,242,1777,927,84,238
01-JAN-2018,28,32910,32432,33518,33042,27660,1565,5754,1910,12916,0,8,7,1800,884,93,243,1777,884,93,238
01-JAN-2018,29,33050,32572,33660,33185,27864,1577,5754,1640,12916,0,10,13,1800,885,93,243,1777,889,93,238
01-JAN-2018,30,33089,32655,33698,33268,28087,1588,5754,884,12916,0,9,12,1795,900,34,242,1777,905,29,238
01-JAN-2018,31,33595,33163,34257,33828,28674,1665,5754,353,12916,0,9,12,1994,986,-53,200,1971,990,-52,195
01-JAN-2018,32,34488,34051,35153,34719,29623,1742,5754,77,12916,0,9,13,1997,998,-56,78,1971,998,-56,76
01-JAN-2018,33,36026,35642,36776,36389,30973,1775,5754,2,12916,0,7,3,1996,1000,-143,72,1971,1002,-145,74
01-JAN-2018,34,38193,37702,38998,38507,33061,1808,5754,0,12916,0,13,9,1997,988,-192,181,1971,988,-195,186
01-JAN-2018,35,38809,38257,39704,39152,33709,1874,5754,1,12916,0,9,12,1996,994,-286,229,1971,996,-286,225
01-JAN-2018,36,38475,37892,39377,38789,33546,1939,5754,0,12916,0,12,10,1996,971,-290,137,1971,974,-289,133
01-JAN-2018,37,37544,36940,38459,37858,32796,2011,5754,0,12916,0,11,16,1996,984,-304,67,1971,988,-303,68
01-JAN-2018,38,36883,36163,37847,37135,32170,2083,5754,0,12916,0,9,6,1997,1012,-350,-5,1971,1011,-353,-12
01-JAN-2018,39,35736,35047,36910,36228,31116,2118,5754,0,12916,0,9,13,1996,959,-413,-152,1971,965,-412,-158
01-JAN-2018,40,34589,33847,35776,35027,30046,2152,5754,0,12916,0,10,11,1996,980,-411,-166,1971,982,-409,-160
01-JAN-2018,41,33590,32854,34627,33882,29042,2129,5754,0,12916,0,9,9,1996,997,-412,-16,1971,995,-412,-11
01-JAN-2018,42,32300,31568,33322,32592,27882,2105,5754,0,12916,0,9,15,1997,989,-413,28,1971,991,-412,25
01-JAN-2018,43,31195,30530,32263,31600,26817,2076,5754,0,12916,0,9,10,1806,894,-414,-45,1776,891,-412,-46
01-JAN-2018,44,29764,29066,30890,30199,25501,2046,5754,0,12916,0,10,15,1799,868,-414,-102,1776,868,-412,-108
