to (UTC),actual,forecast,index
2018-02-16T00:00Z,164,175,low
2018-02-16T00:30Z,164,171,low
2018-02-16T01:00Z,166,174,low
2018-02-16T01:30Z,166,183,low
2018-02-16T02:00Z,164,185,low
2018-02-16T02:30Z,163,186,low
2018-02-16T03:00Z,164,189,low
2018-02-16T03:30Z,166,191,low
2018-02-16T04:00Z,162,191,low
2018-02-16T04:30Z,165,190,low
2018-02-16T05:00Z,169,193,low
2018-02-16T05:30Z,180,206,moderate
2018-02-16T06:00Z,194,212,moderate
2018-02-16T06:30Z,214,226,moderate
2018-02-16T07:00Z,241,249,moderate
2018-02-16T07:30Z,263,265,moderate
2018-02-16T08:00Z,276,278,moderate
2018-02-16T08:30Z,283,286,high
2018-02-16T09:00Z,283,293,high
2018-02-16T09:30Z,276,292,moderate
2018-02-16T10:00Z,275,289,moderate
2018-02-16T10:30Z,279,288,moderate
2018-02-16T11:00Z,274,284,moderate
2018-02-16T11:30Z,271,281,moderate
2018-02-16T12:00Z,261,277,moderate
2018-02-16T12:30Z,252,274,moderate
2018-02-16T13:00Z,250,273,moderate
2018-02-16T13:30Z,253,271,moderate
2018-02-16T14:00Z,250,274,moderate
2018-02-16T14:30Z,253,277,moderate
2018-02-16T15:00Z,267,285,moderate
2018-02-16T15:30Z,281,289,high
2018-02-16T16:00Z,289,297,high
2018-02-16T16:30Z,302,304,high
2018-02-16T17:00Z,314,312,high
2018-02-16T17:30Z,326,319,high
2018-02-16T18:00Z,332,322,high
2018-02-16T18:30Z,330,331,high
2018-02-16T19:00Z,327,330,high
2018-02-16T19:30Z,324,324,high
2018-02-16T20:00Z,306,314,high
2018-02-16T20:30Z,285,299,high
2018-02-16T21:00Z,272,284,moderate
2018-02-16T21:30Z,260,270,moderate
2018-02-16T22:00Z,250,257,moderate
2018-02-16T22:30Z,230,246,moderate
2018-02-16T23:00Z,208,235,moderate
2018-02-16T23:30Z,188,222,moderate
2018-02-17T00:00Z,182,218,moderate
2018-02-17T00:30Z,192,211,moderate
2018-02-17T01:00Z,202,215,moderate
2018-02-17T01:30Z,211,224,moderate
2018-02-17T02:00Z,205,230,moderate
2018-02-17T02:30Z,201,234,moderate
2018-02-17T03:00Z,206,239,moderate
2018-02-17T03:30Z,211,242,moderate
2018-02-17T04:00Z,217,239,moderate
2018-02-17T04:30Z,214,238,moderate
2018-02-17T05:00Z,217,240,moderate
2018-02-17T05:30Z,221,246,moderate
2018-02-17T06:00Z,224,248,moderate
2018-02-17T06:30Z,225,256,moderate
2018-02-17T07:00Z,233,265,moderate
2018-02-17T07:30Z,247,268,moderate
2018-02-17T08:00Z,262,276,moderate
2018-02-17T08:30Z,280,281,high
2018-02-17T09:00Z,291,293,high
2018-02-17T09:30Z,302,300,high
2018-02-17T10:00Z,296,302,high
2018-02-17T10:30Z,296,305,high
2018-02-17T11:00Z,291,299,high
