to (UTC),actual,forecast,index
2018-01-16T00:00Z,152,162,low
2018-01-16T00:30Z,151,161,low
2018-01-16T01:00Z,169,162,low
2018-01-16T01:30Z,181,167,moderate
2018-01-16T02:00Z,163,166,low
2018-01-16T02:30Z,156,161,low
2018-01-16T03:00Z,152,161,low
2018-01-16T03:30Z,148,160,low
2018-01-16T04:00Z,147,152,low
2018-01-16T04:30Z,145,147,low
2018-01-16T05:00Z,146,144,low
2018-01-16T05:30Z,153,141,low
2018-01-16T06:00Z,157,146,low
2018-01-16T06:30Z,178,166,low
2018-01-16T07:00Z,204,186,moderate
2018-01-16T07:30Z,222,207,moderate
2018-01-16T08:00Z,236,229,moderate
2018-01-16T08:30Z,242,235,moderate
2018-01-16T09:00Z,237,233,moderate
2018-01-16T09:30Z,233,231,moderate
2018-01-16T10:00Z,229,230,moderate
2018-01-16T10:30Z,222,218,moderate
2018-01-16T11:00Z,217,213,moderate
2018-01-16T11:30Z,212,210,moderate
2018-01-16T12:00Z,209,208,moderate
2018-01-16T12:30Z,214,208,moderate
2018-01-16T13:00Z,210,211,moderate
2018-01-16T13:30Z,213,214,moderate
2018-01-16T14:00Z,218,218,moderate
2018-01-16T14:30Z,223,218,moderate
2018-01-16T15:00Z,226,223,moderate
2018-01-16T15:30Z,233,226,moderate
2018-01-16T16:00Z,245,234,moderate
2018-01-16T16:30Z,254,249,moderate
2018-01-16T17:00Z,266,265,moderate
2018-01-16T17:30Z,274,279,moderate
2018-01-16T18:00Z,272,286,moderate
2018-01-16T18:30Z,274,289,moderate
2018-01-16T19:00Z,270,296,moderate
2018-01-16T19:30Z,264,297,moderate
2018-01-16T20:00Z,259,287,moderate
2018-01-16T20:30Z,253,274,moderate
2018-01-16T21:00Z,237,267,moderate
2018-01-16T21:30Z,221,257,moderate
2018-01-16T22:00Z,202,242,moderate
2018-01-16T22:30Z,183,220,moderate
2018-01-16T23:00Z,161,206,low
2018-01-16T23:30Z,150,197,low
2018-01-17T00:00Z,142,188,low
2018-01-17T00:30Z,140,188,low
2018-01-17T01:00Z,147,188,low
2018-01-17T01:30Z,151,197,low
2018-01-17T02:00Z,141,197,low
2018-01-17T02:30Z,141,195,low
2018-01-17T03:00Z,136,192,low
2018-01-17T03:30Z,138,191,low
2018-01-17T04:00Z,130,180,low
2018-01-17T04:30Z,129,170,low
2018-01-17T05:00Z,130,166,low
2018-01-17T05:30Z,137,166,low
2018-01-17T06:00Z,149,166,low
2018-01-17T06:30Z,172,179,low
2018-01-17T07:00Z,194,198,moderate
2018-01-17T07:30Z,217,215,moderate
2018-01-17T08:00Z,234,235,moderate
2018-01-17T08:30Z,239,237,moderate
2018-01-17T09:00Z,238,234,moderate
2018-01-17T09:30Z,233,233,moderate
2018-01-17T10:00Z,228,233,moderate
2018-01-17T10:30Z,217,222,moderate
2018-01-17T11:00Z,217,216,moderate
2018-01-17T11:30Z,214,212,moderate
2018-01-17T12:00Z,211,211,moderate
2018-01-17T12:30Z,210,211,moderate
2018-01-17T13:00Z,209,212,moderate
2018-01-17T13:30Z,214,213,moderate
2018-01-17T14:00Z,216,213,moderate
2018-01-17T14:30Z,222,211,moderate
2018-01-17T15:00Z,232,215,moderate
2018-01-17T15:30Z,244,221,moderate
