to (UTC),actual,forecast,index
2018-03-16T00:00Z,288,283,high
2018-03-16T00:30Z,319,301,high
2018-03-16T01:00Z,336,308,high
2018-03-16T01:30Z,327,292,high
2018-03-16T02:00Z,326,290,high
2018-03-16T02:30Z,329,288,high
2018-03-16T03:00Z,333,289,high
2018-03-16T03:30Z,325,282,high
2018-03-16T04:00Z,314,271,high
2018-03-16T04:30Z,314,262,high
2018-03-16T05:00Z,317,260,high
2018-03-16T05:30Z,325,265,high
2018-03-16T06:00Z,340,275,high
2018-03-16T06:30Z,340,281,high
2018-03-16T07:00Z,335,281,high
2018-03-16T07:30Z,342,290,high
2018-03-16T08:00Z,338,297,high
2018-03-16T08:30Z,337,300,high
2018-03-16T09:00Z,336,298,high
2018-03-16T09:30Z,338,293,high
2018-03-16T10:00Z,335,288,high
2018-03-16T10:30Z,331,282,high
2018-03-16T11:00Z,326,274,high
2018-03-16T11:30Z,321,269,high
2018-03-16T12:00Z,321,262,high
2018-03-16T12:30Z,321,258,high
2018-03-16T13:00Z,316,259,high
2018-03-16T13:30Z,307,256,high
2018-03-16T14:00Z,309,255,high
2018-03-16T14:30Z,312,260,high
2018-03-16T15:00Z,316,259,high
2018-03-16T15:30Z,324,256,high
2018-03-16T16:00Z,335,259,high
2018-03-16T16:30Z,345,278,high
2018-03-16T17:00Z,357,290,high
2018-03-16T17:30Z,369,298,high
2018-03-16T18:00Z,367,300,high
2018-03-16T18:30Z,353,302,high
2018-03-16T19:00Z,344,306,high
2018-03-16T19:30Z,334,311,high
2018-03-16T20:00Z,322,307,high
2018-03-16T20:30Z,315,298,high
2018-03-16T21:00Z,294,287,high
2018-03-16T21:30Z,268,268,moderate
2018-03-16T22:00Z,251,254,moderate
2018-03-16T22:30Z,250,242,moderate
2018-03-16T23:00Z,240,228,moderate
2018-03-16T23:30Z,219,223,moderate
2018-03-17T00:00Z,205,235,moderate
2018-03-17T00:30Z,220,283,moderate
2018-03-17T01:00Z,226,281,moderate
2018-03-17T01:30Z,227,270,moderate
2018-03-17T02:00Z,227,271,moderate
2018-03-17T02:30Z,215,245,moderate
2018-03-17T03:00Z,211,252,moderate
2018-03-17T03:30Z,214,243,moderate
2018-03-17T04:00Z,198,226,moderate
2018-03-17T04:30Z,191,219,moderate
2018-03-17T05:00Z,194,221,moderate
2018-03-17T05:30Z,198,229,moderate
2018-03-17T06:00Z,201,249,moderate
2018-03-17T06:30Z,215,253,moderate
2018-03-17T07:00Z,196,232,moderate
2018-03-17T07:30Z,230,236,moderate
2018-03-17T08:00Z,241,245,moderate
2018-03-17T08:30Z,232,260,moderate
2018-03-17T09:00Z,236,266,moderate
2018-03-17T09:30Z,238,273,moderate
2018-03-17T10:00Z,239,276,moderate
2018-03-17T10:30Z,243,262,moderate
2018-03-17T11:00Z,244,250,moderate
2018-03-17T11:30Z,245,242,moderate
2018-03-17T12:00Z,244,235,moderate
2018-03-17T12:30Z,244,231,moderate
2018-03-17T13:00Z,243,234,moderate
2018-03-17T13:30Z,239,231,moderate
2018-03-17T14:00Z,234,230,moderate
2018-03-17T14:30Z,227,236,moderate
2018-03-17T15:00Z,232,235,moderate
2018-03-17T15:30Z,237,233,moderate
2018-03-17T16:00Z,247,241,moderate
2018-03-17T16:30Z,258,255,moderate
2018-03-17T17:00Z,269,268,moderate
2018-03-17T17:30Z,278,279,moderate
2018-03-17T18:00Z,289,286,high
2018-03-17T18:30Z,293,299,high
2018-03-17T19:00Z,297,307,high
2018-03-17T19:30Z,299,310,high
2018-03-17T20:00Z,299,307,high
2018-03-17T20:30Z,296,302,high
2018-03-17T21:00Z,291,291,high
2018-03-17T21:30Z,283,276,high
2018-03-17T22:00Z,266,264,moderate
2018-03-17T22:30Z,250,251,moderate
2018-03-17T23:00Z,238,236,moderate
2018-03-17T23:30Z,238,229,moderate
2018-03-18T00:00Z,230,226,moderate
2018-03-18T00:30Z,221,243,moderate
2018-03-18T01:00Z,227,249,moderate
2018-03-18T01:30Z,243,238,moderate
2018-03-18T02:00Z,248,234,moderate
2018-03-18T02:30Z,238,229,moderate
2018-03-18T03:00Z,231,228,moderate
2018-03-18T03:30Z,226,227,moderate
2018-03-18T04:00Z,217,218,moderate
2018-03-18T04:30Z,214,211,moderate
2018-03-18T05:00Z,214,209,moderate
2018-03-18T05:30Z,211,210,moderate
2018-03-18T06:00Z,213,214,moderate
2018-03-18T06:30Z,212,217,moderate
2018-03-18T07:00Z,211,198,moderate
2018-03-18T07:30Z,203,216,moderate
2018-03-18T08:00Z,203,228,moderate
2018-03-18T08:30Z,211,239,moderate
2018-03-18T09:00Z,231,254,moderate
2018-03-18T09:30Z,252,257,moderate
2018-03-18T10:00Z,262,256,moderate
2018-03-18T10:30Z,266,254,moderate
2018-03-18T11:00Z,271,249,moderate
2018-03-18T11:30Z,273,248,moderate
2018-03-18T12:00Z,277,245,moderate
2018-03-18T12:30Z,279,246,moderate
2018-03-18T13:00Z,280,251,high
2018-03-18T13:30Z,280,249,high
2018-03-18T14:00Z,281,247,high
2018-03-18T14:30Z,284,266,high
2018-03-18T15:00Z,281,268,high
2018-03-18T15:30Z,282,270,high
2018-03-18T16:00Z,288,276,high
2018-03-18T16:30Z,299,289,high
2018-03-18T17:00Z,304,300,high
2018-03-18T17:30Z,307,310,high
2018-03-18T18:00Z,308,318,high
2018-03-18T18:30Z,310,324,high
2018-03-18T19:00Z,314,328,high
2018-03-18T19:30Z,320,330,high
2018-03-18T20:00Z,316,330,high
2018-03-18T20:30Z,319,329,high
2018-03-18T21:00Z,315,322,high
2018-03-18T21:30Z,312,313,high
2018-03-18T22:00Z,301,300,high
2018-03-18T22:30Z,287,283,high
2018-03-18T23:00Z,277,270,moderate
2018-03-18T23:30Z,255,262,moderate
2018-03-19T00:00Z,242,259,moderate
